Power Plant ,Plant Key ,Technology Type ,Operating Capacity,Net Generation,Capacity Factor (%),Heat Rate for Electricity (Btu/kWh),Non-Fuel Variable O&M Cost ($),Fuel Costs ($),Fixed O&M Cost ($),Total Operating & Maintenance Expense ($),Primary Fuel Type ,Marginal Price
Possum Point CT,-6011,Gas Turbine,106,141,0.02,18914.89,129658,31805.03,348961,510424.03,Oil,1145.127872
Powerton,-107211,Steam Turbine,1538,5584776,41.45,11171.44,20294692.37,96262932.24,44033233.6,160590858.2,Coal,20.87059975
PPG Industries Works 6 IC Facility,-65014,Internal Combustion,5,50,0.11,26640,28964.33,15471.98,38015.66,82451.97,Oil,888.7262
PPG Monroeville Chemicals Center,-65012,Internal Combustion,1.1,0,0,11075,0,0,10717.5,10717.5,Oil,#DIV/0!
PPG Place,-6032,Internal Combustion,2.3,NA,NA,10342,NA,NA,22409.33,NA,Oil,#VALUE!
PPL Ironwood,-102426,Combined Cycle,735.4,5031403,78.1,7138.35,3397914.38,104583854.7,7204840.75,115186609.8,Gas,21.46156233
Prairie State Energy Campus,-105932,Steam Turbine,1628,11106837,77.88,9312,22581460.44,219609120.5,48237682.92,290428263.9,Coal,21.80554022
Prairie State Energy Campus,-25813,Steam Turbine,1628,11106837,77.88,9312,22581460.44,219609120.5,48237682.92,290428263.9,Coal,21.80554022
Prairie State Energy Campus,-15573,Steam Turbine,1628,11106837,77.88,9312,22581460.44,219609120.5,48237682.92,290428263.9,Coal,21.80554022
Prairie State Energy Campus,-15551,Steam Turbine,1628,11106837,77.88,9312,22581460.44,219609120.5,48237682.92,290428263.9,Coal,21.80554022
Prairie State Energy Campus,-12558,Steam Turbine,1628,11106837,77.88,9312,22581460.44,219609120.5,48237682.92,290428263.9,Coal,21.80554022
Prairie State Energy Campus,-12557,Steam Turbine,1628,11106837,77.88,9312,22581460.44,219609120.5,48237682.92,290428263.9,Coal,21.80554022
Prairie State Energy Campus,-12555,Steam Turbine,1628,11106837,77.88,9312,22581460.44,219609120.5,48237682.92,290428263.9,Coal,21.80554022
Prairie State Energy Campus,-12553,Steam Turbine,1628,11106837,77.88,9312,22581460.44,219609120.5,48237682.92,290428263.9,Coal,21.80554022
Prairie State Energy Campus,-12552,Steam Turbine,1628,11106837,77.88,9312,22581460.44,219609120.5,48237682.92,290428263.9,Coal,21.80554022
Prairie View Gas Recovery,-10763,Internal Combustion,6.4,49240,87.83,12284.83,745807,418145,8457,1172409,Biomass,23.63834281
Prairie View Landfill Facility,-22667,Internal Combustion,4.8,39145,93.1,10528.27,508192.99,1383900.7,60715.55,1952809.24,Biomass,48.33551386
Pretlow,-13573,Internal Combustion,3.2,102,0.36,9519.61,38400.2,11290.36,33113.86,82804.42,Oil,487.1623529
Prince William County Landfill,-53545,Internal Combustion,6.6,50792,87.85,11376.22,647471.86,1947470.98,76012.42,2670955.27,Biomass,51.08959757
Princeton University Cogen Plant,-87370,Gas Turbine,15.5,66483,48.96,12310.47,93308.62,2383212.32,105143.34,2581664.28,Gas,37.25043906
Princeton University Solar (PV),-87236,Solar,4.5,7798,19.78,NA,0,0,118958.95,118958.95,Solar,0
Prospect Mun Elec,-6067,Internal Combustion,1.8,0,0,11075,0,0,19409.62,19409.62,Oil,#DIV/0!
Providence Heights Wind Farm,-101154,Wind Turbine,72,181862,28.83,NA,473577.54,0,1416816.35,1890393.89,Wind,2.604048894
Providence Heights Wind Farm,-101153,Wind Turbine,72,181862,28.83,NA,473577.54,0,1416816.35,1890393.89,Wind,2.604048894
PSEG Mars Solar Garden (Hackettstown),-18290,Solar,2.2,2470,12.82,NA,0,0,58157.71,58157.71,Solar,0
PSEG Meadows Solar Energy Center,-108041,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
PSEG Milford Solar Farm,-48089,Solar,11.8,19292,18.66,NA,0,0,311936.81,311936.81,Solar,0
PSEG Waldorf Solar Energy Center (Rockfish),-93891,Solar,10.3,7007,30.81,NA,0,0,68630.44,68630.44,Solar,0
PSEG Wyandot Solar Farm,-18543,Solar,10,14582,16.65,NA,0,0,264353.23,264353.23,Solar,0
PWD Northeast WPCP Biogas Cogen,-66109,Internal Combustion,5.6,30812,62.81,9235.59,419342.03,887639.52,72567.32,1379548.87,Biomass,42.41793944
Quad Cities,-47305,Nuclear,1819,15562151,97.66,10400,112654196,101081020,160979888,374715104,Nuclear,13.73429778
Quad Cities,-6099,Nuclear,1819,15562151,97.66,10400,112654196,101081020,160979888,374715104,Nuclear,13.73429778
Quad Cities,-6098,Nuclear,1819,15562151,97.66,10400,112654196,101081020,160979888,374715104,Nuclear,13.73429778
Racine,-71384,Hydraulic Turbine,47.4,211812,51.01,NA,941536.02,0,423390.66,1364926.69,Water,4.445149567
Radford Army Ammunition,-6135,Steam Turbine,22.4,29604,15.09,6708.05,266232.83,585558.79,293958.25,1145749.87,Coal,28.7728557
Randolph Eastern School Wind Plant,-19242,Wind Turbine,1,948,10.82,NA,6940.34,0,44567.34,51507.69,Wind,7.321033755
Raritan ITS Solar Plant,-87597,Solar,2,2288,13.06,NA,0,0,52870.65,52870.65,Solar,0
Rariton OMP (PV),-87363,Solar,2.4,1494,7.11,NA,0,0,63444.77,63444.77,Solar,0
Red Lion Energy Center,-32209,Fuel Cell,27,204109,86.3,7501.04,9396527.4,4458213.85,0,13854741.25,Gas,67.87912953
Red Oak,-65877,Combined Cycle,823.1,5810095,80.58,7228.04,3666321.42,158772675.4,7849830.42,170288827.2,Gas,27.9580621
Reeves South Solar Plant,-87289,Solar,1,1836,20.96,NA,0,0,26435.32,26435.32,Solar,0
Reeves Station Road Solar (East),-47211,Solar,5.5,8915,18.5,NA,0,0,145394.27,145394.27,Solar,0
Remington,-6197,Gas Turbine,748,890724,13.59,10080.71,570118,32658739.66,3709047,36937904.66,Gas,37.30544777
Renewvia Northport I,-27661,Solar,1.25,NA,NA,NA,NA,NA,33044.15,NA,Solar,#VALUE!
Renick Run,-12008,Internal Combustion,2.2,5,0.03,10800,2896.43,627.24,23171.83,26695.51,Oil,704.734
RES Battery Utility of Ohio Battery Storage,-94988,Other,4,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
Reusens,-6205,Hydraulic Turbine,12.5,0,0,NA,0,10477,197532.35,208009.35,Water,#DIV/0!
Richard Stockton College Fuel Cell Plant,-19816,Fuel Cell,0.2,NA,NA,8027,NA,NA,0,NA,Gas,#VALUE!
Richard Stockton College Solar Project,-22176,Solar,1.2,1389,13.21,NA,0,0,31722.39,31722.39,Solar,0
Richland,-88626,Gas Turbine,432,37782,1,14473.61,543766.77,1665800.33,1469874.15,3679441.25,Gas,58.48200466
Richmond,-6225,Gas Turbine,84,5747,0.78,13021.58,120215.49,274377.02,326249.32,720841.83,Gas,68.66060727
Richmond CT,-6226,Gas Turbine,132,13459,1.16,11918.49,197978.6,1940897.2,530516.75,2669392.56,Oil,158.9178839
Richmond Energy Project,-22680,Internal Combustion,6.4,50728,90.48,11763.42,652422.38,1939390.18,81820.32,2673632.89,Biomass,51.09234663
Rittman Facility (Morton Salt),-6257,Steam Turbine,2.5,8306,39.26,4499.64,74697,98287.13,31693.27,204677.4,Coal,20.82640621
River Road Solar Project,-109355,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Riverside Generating Project,-64703,Gas Turbine,950,573600,6.89,10983.26,1341134.35,17833110.34,2940113.55,22114358.24,Gas,33.42790218
Riverside Jet,-72875,Gas Turbine,39,36382,10.65,17155.13,113008.07,1987575.32,256006.53,2356589.92,Oil,57.7368861
Riverside Renewable Energy Project,-65002,Solar,7.5,10190,15.51,NA,0,0,198264.92,198264.92,Solar,0
Riverside Solar,-18958,Solar,0.4,NA,NA,NA,NA,NA,10574.13,NA,Solar,#VALUE!
Riverside Solar,-13670,Solar,0.4,NA,NA,NA,NA,NA,10574.13,NA,Solar,#VALUE!
Roanoke Rapids,-6293,Hydraulic Turbine,95,290112,34.86,NA,2129300,143803,1070112,3343215,Water,7.835260175
"Roanoke Rapids, North Carolina",-16876,Steam Turbine,30,187125,71.2,5073.1,3313404.56,1240541.48,2257650.96,6811597.01,Biomass,24.33638498
Roanoke Valley I (ROVA I),-53169,Steam Turbine,167.2,186061,12.7,9585.5,1673272.06,6419204.52,4161952.63,12254429.21,Coal,43.49367455
Roanoke Valley II (ROVA II),-53168,Steam Turbine,45.1,23793,6.02,10643.93,213973.71,1125099.61,591853.43,1930926.75,Coal,56.28013786
Robert Moses Niagara,-5422,Hydraulic Turbine,2441.4,14604587,68.29,NA,26617896.73,0,20115168.23,46733064.96,Water,1.822571
Robert Moses Power Dam (St Lawrence F.D.Roosevelt),-5241,Hydraulic Turbine,1025.6,6932867,77.17,NA,12635642.34,0,8450117.37,21085759.71,Water,1.822571
Robert P Mone,-109178,Gas Turbine,540,35343,0.75,10952.35,616398.73,1416107.6,1686579.31,3719085.63,Gas,57.50803073
Robeson County LFG-Energy,-92305,Internal Combustion,2,8568,55.78,10508.99,123530.28,316980.3,24431.89,464942.47,Biomass,51.41346639
Rochelle Energy Center,-62134,Internal Combustion,4.8,15001,35.68,12265.85,230561.13,679267.68,60715.55,970544.36,Biomass,60.65121059
Rochelle Energy Center,-62133,Internal Combustion,4.8,15001,35.68,12265.85,230561.13,679267.68,60715.55,970544.36,Biomass,60.65121059
Rock Solid Solar Project,-85363,Solar,8,13573,19.37,NA,0,0,211482.58,211482.58,Solar,0
Rock Springs,-107857,Gas Turbine,745.7,821789,12.58,10383.03,1529905,18259670,2565285,22354860,Gas,24.08109016
Rock Springs,-41469,Gas Turbine,745.7,821789,12.58,10383.03,1529905,18259670,2565285,22354860,Gas,24.08109016
Rockford I Energy Center,-109496,Gas Turbine,368.5,135459,4.2,11632.3,485825.31,4647884.68,1169600.56,6303310.55,Gas,37.89862608
Rockford II Energy Center,-109499,Gas Turbine,189.9,114421,6.88,10045.41,279730.14,3390433.8,618784.11,4288948.05,Gas,32.07596455
Rockport,-6336,Steam Turbine,2600,12442473,54.63,10112.75,38539668,285571212,192415417,516526297,Coal,26.04875092
Rockport,-6335,Steam Turbine,2600,12442473,54.63,10112.75,38539668,285571212,192415417,516526297,Coal,26.04875092
Rock-Tenn Company (IL),-6327,Internal Combustion,2.9,13,0.05,13076.93,7530.73,501.45,23309.48,31341.66,Gas,617.86
RockTenn West Point Mill (St. Laurent Paper Products),-54352,Steam Turbine,101,566979,64.08,4817.24,5429795.67,7165429.7,3198912.39,15794137.76,Biomass,22.21462412
Rockton,-56060,Hydraulic Turbine,1.1,5176,53.72,NA,23543.45,0,119113.03,142656.48,Water,4.548579985
Rockville 1 & 2,-90939,Internal Combustion,10.8,220,0.23,9936.36,83252.86,26344.18,129463.38,239060.42,Oil,498.1683636
Rockville 1 & 2,-90938,Internal Combustion,10.8,220,0.23,9936.36,83252.86,26344.18,129463.38,239060.42,Oil,498.1683636
Rockville Biomass,-18224,Internal Combustion,0.8,NA,NA,11075,NA,NA,33773.58,NA,Biomass,#VALUE!
Rocky Mount Solar Facility,-16309,Solar,3.5,1388,4.53,NA,0,0,92523.63,92523.63,Solar,0
Rocky Road,-90224,Gas Turbine,377.6,71128,2.15,11855.12,463222.01,2487301.17,1200401.03,4150924.2,Gas,41.48188027
Rolling Hills Generating,-101396,Gas Turbine,900,40895,0.52,10885.14,1006777.97,1260059.67,2781523.5,5048361.14,Gas,55.43067955
Romark PA Solar,-19681,Solar,1.8,2292,14.54,NA,0,0,47583.58,47583.58,Solar,0
Rosemary,-9500,Combined Cycle,186,112852,6.93,9541.9,2155971,3959955,1609940,7725866,Gas,54.19421898
Roth Rock Wind Project I,-25144,Wind Turbine,40,101378,28.93,NA,265633.27,0,790624.72,1056257.99,Wind,2.620225986
Roth Rock Wind Project II (North),-25146,Wind Turbine,10,25428,29.03,NA,133685.14,0,292278.49,425963.63,Wind,5.25739893
Roundtop,-80456,Internal Combustion,21,4673,10.08,9389.26,170533.26,63711.71,186150.04,420395.01,Gas,50.12732078
RP Wind Farm,-89836,Wind Turbine,3.4,9192,30.86,NA,59871.95,0,119560.78,179432.73,Wind,6.513484552
Safe Harbor,-112308,Hydraulic Turbine,417.5,924566,25.28,NA,1901514.25,0,3439863.5,5341377.74,Water,2.056656042
Safe Harbor,-112307,Hydraulic Turbine,417.5,924566,25.28,NA,1901514.25,0,3439863.5,5341377.74,Water,2.056656042
Saint Mary of Nazareth Hospital,-13740,Internal Combustion,4.2,0,0,11075,0,917.37,41164.45,42081.81,Oil,#DIV/0!
Salem,-8583,Nuclear,2328.2,18593574,91.17,10400,123278692,155661745.6,170431246.7,449371684.3,Nuclear,15.00198066
Salem,-6429,Nuclear,2328.2,18593574,91.17,10400,123278692,155661745.6,170431246.7,449371684.3,Nuclear,15.00198066
Salem CT,-8584,Gas Turbine,38.4,55,0.02,52072.73,13641,33940.79,251130.82,298712.61,Oil,865.1234545
Salem CT,-6431,Gas Turbine,38.4,55,0.02,52072.73,13641,33940.79,251130.82,298712.61,Oil,865.1234545
Salem Electric Department,-14193,Internal Combustion,1.3,51,0.45,10235.29,6425.83,6063.34,11950.09,24439.26,Oil,244.8856863
Salem Street Department,-12027,Internal Combustion,2,112,0.64,9803.57,22597.14,12753.93,19884.05,55235.11,Oil,315.6345536
Salem Water Plant,-12026,Internal Combustion,2,104,0.59,9750,21448.69,11778.22,18584.66,51811.57,Oil,319.4895192
Sandy Ridge Wind Farm,-70901,Wind Turbine,48.2,150024,35.53,NA,282790.67,0,895298.59,1178089.26,Wind,1.884969538
Sauder,-6537,Steam Turbine,7.2,30603,48.52,21946,1274117.46,2332164.64,975387.7,4581669.81,Biomass,117.8408032
Sayreville Cogeneration,-6550,Combined Cycle,333.1,1270427,43.54,8466.5,2436784.6,40665490.94,4680479.01,47782754.55,Gas,33.92739255
Sayreville Cogeneration,-6549,Combined Cycle,333.1,1270427,43.54,8466.5,2436784.6,40665490.94,4680479.01,47782754.55,Gas,33.92739255
Sayreville CT,-107187,Gas Turbine,280,8304,0.34,19146.56,356213.42,1570155.49,984958.34,2911327.24,Gas,231.9808418
SC Landfill Energy,-100140,Internal Combustion,1.8,4038,25.61,13544.58,65284.9,221692.38,19195.03,306172.31,Biomass,71.06916295
Schering-Plough Campus Solar Facility,-99231,Solar,1.7,1591,10.68,NA,0,0,44940.05,44940.05,Solar,0
Schoolfield Dam,-94654,Hydraulic Turbine,4.5,14608,37.06,NA,317922.2,0,123969.53,441891.73,Water,21.76356791
Schuylkill CT,-6572,Gas Turbine,38,760,0.23,13532.89,94487.5,124124.31,256002.29,474614.1,Oil,287.6471184
Scrubgrass,-94658,Steam Turbine,86.1,259422,34.4,13588.57,1558941.37,7734191.62,1714950.98,11008083.97,Coal,35.82245527
Scrubgrass,-94656,Steam Turbine,86.1,259422,34.4,13588.57,1558941.37,7734191.62,1714950.98,11008083.97,Coal,35.82245527
Scrubgrass,-71321,Steam Turbine,86.1,259422,34.4,13588.57,1558941.37,7734191.62,1714950.98,11008083.97,Coal,35.82245527
Seaboard Solar,-105487,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Seabrook Farms Solar Facility,-100138,Solar,6.2,4521,8.32,NA,0,0,163899,163899,Solar,0
Seaside Heights Power Plant,-65468,Internal Combustion,6,98,0.19,3000,56770.08,3535.18,77193.82,137499.09,Oil,615.3597959
Secaucus Solar Project,-53496,Solar,1.2,NA,NA,NA,NA,NA,31722.39,NA,Solar,#VALUE!
SECCRA Community Landfill,-17046,Internal Combustion,2.5,6118,27.94,10659.37,101277.15,237371.68,27778.67,366427.5,Biomass,55.35286532
Settler's Hill Gas Recovery,-6634,Gas Turbine,6.6,40639,70.29,17754.6,59487.27,2427328.54,90196.55,2577012.36,Biomass,61.19283964
Seville,-15021,Internal Combustion,5.4,220,0.47,10277.27,59830.7,27180.51,62132.92,149144.12,Oil,395.5055
Seward Waste Coal,-102893,Steam Turbine,521,1682435,36.86,11171.69,6710914.98,43267828.54,15052865.79,65031609.31,Coal,29.70619579
Sewaren,-6640,Steam Turbine,450.6,3461,0.09,59750.94,129890.71,855411.87,5664931.54,6650234.12,Gas,284.6872522
Shady Oaks Wind,-72499,Wind Turbine,109.5,342654,35.72,NA,557121.97,0,1913586.05,2470708.03,Wind,1.625902426
Sharon Station Solar Project,-103208,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Shawboro Solar Farm,-93984,Solar,20,579,3.89,NA,0,0,44903.84,44903.84,Solar,0
Shawnee CT,-107402,Gas Turbine,24,0,0,24680.85,0,34289.25,182925.34,217214.59,Oil,#DIV/0!
Shawville IC,-107214,Internal Combustion,6,0,0,11075,0,9408.64,58459.11,67867.75,Oil,#DIV/0!
Shelby County,-104085,Gas Turbine,474.4,18329,0.44,10249.99,539006.84,529857.6,1492592.59,2561457.04,Gas,58.31548039
Shelby Municipal IC,-6668,Internal Combustion,3,13,0.05,31230.77,7530.73,1902.33,5787.47,15220.52,Oil,725.62
Shelby North,-6666,Internal Combustion,1.8,62,0.39,10403.23,15339.05,7735.99,13997.49,37072.53,Oil,372.1780645
Shelby South,-6667,Internal Combustion,1.8,13,0.08,14692.31,7530.73,2299.89,13997.49,23828.1,Oil,756.2015385
Shenandoah Hydro,-87173,Hydraulic Turbine,0.86,NA,NA,NA,NA,NA,13590.23,NA,Water,#VALUE!
Shenandoah Hydro,-87172,Hydraulic Turbine,0.86,NA,NA,NA,NA,NA,13590.23,NA,Water,#VALUE!
Sherman Avenue,-21092,Gas Turbine,99,37383,4.31,13835.65,154076.25,1893845.57,375044.63,2422966.45,Gas,54.7821689
Shippensburg (Cumberland County) Landfill,-99248,Internal Combustion,6.4,46735,83.36,10968.2,605450.42,1915666.48,80520.94,2601637.84,Biomass,53.94494276
Shore Point Solar Plant,-48590,Solar,1,1317,15.03,NA,0,0,26435.32,26435.32,Solar,0
Sidney,-30219,Internal Combustion,12,79,0.08,8227.85,3640,17642,2189,23471,Oil,269.3924051
Silver Lake Solar Farm,-19763,Solar,1.7,2433,16.34,NA,0,0,44940.05,44940.05,Solar,0
Simons Solar Farm,-79567,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Skillman PV,-87511,Solar,2.7,2659,11.24,NA,0,0,71375.37,71375.37,Solar,0
Smith IC,-6755,Internal Combustion,1.6,102,0.73,10352.94,708.56,12684.24,968.16,14360.95,Oil,131.3019608
Smith Mountain,-6758,Pumped Storage,238,54041,2.59,NA,657613.74,5540667.04,2105114.57,8303395.35,Water,114.6958935
Smith Mountain Hydro,-13203,Hydraulic Turbine,348,232702,7.63,NA,1363968.79,0,2867239.51,4231208.3,Water,5.86143991
Snowden,-6770,Hydraulic Turbine,5,19490,44.5,NA,342987.27,0,138595.27,481582.54,Water,17.59811544
Sol NC Power Project,-104867,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Solar Power,-53276,Solar,1.6,NA,NA,NA,NA,NA,42296.52,NA,Solar,#VALUE!
Solar Star New Jersey NJ Plant,-92906,Solar,1.5,1613,12.28,NA,0,0,39652.98,39652.98,Solar,0
Somerset County Solar Project,-21785,Solar,5,NA,NA,NA,NA,NA,132176.61,NA,Solar,#VALUE!
Somerset Solar,-18959,Solar,0.05,NA,NA,NA,NA,NA,1321.77,NA,Solar,#VALUE!
Somerset Solar,-13668,Solar,0.05,NA,NA,NA,NA,NA,1321.77,NA,Solar,#VALUE!
Somerset Wind Project,-9397,Wind Turbine,9,15753,19.98,NA,115328.26,0,401106.1,516434.36,Wind,7.321034724
South Brunswick (Matrix) Solar Plant,-25129,Solar,2.6,3633,15.95,NA,0,0,68731.84,68731.84,Solar,0
South Brunswick Industrial Park Solar,-22551,Solar,2.7,3595,15.2,NA,0,0,71375.37,71375.37,Solar,0
South Campus Solar Project,-98967,Solar,1.3,1072,9.41,NA,0,0,34365.92,34365.92,Solar,0
South Chestnut Wind Project,-101128,Wind Turbine,50.4,111839,25.33,NA,286953.78,0,931843.98,1218797.76,Wind,2.565775624
South Chestnut Wind Project,-101127,Wind Turbine,50.4,111839,25.33,NA,286953.78,0,931843.98,1218797.76,Wind,2.565775624
South Main Street IC,-13208,Internal Combustion,9,224,0.28,27928.57,61513.98,73426.76,87529.13,222469.88,Oil,602.4140179
Southampton VA,-6831,Steam Turbine,51,290307,64.98,12209.84,87797,15276924,122706,15487427,Biomass,52.92576824
Southeast Berrien County Landfill,-20574,Internal Combustion,4.8,25468,60.57,10568.87,349864.71,942090.24,59416.17,1351371.11,Biomass,50.72855937
Southeast Chicago Energy,-25816,Gas Turbine,320,22268,0.79,15058.74,372074.56,989126.02,1015585.47,2376786.05,Gas,61.12810221
Southern Division Headquarters Solar Project,-41581,Solar,1.1,NA,NA,NA,NA,NA,29078.85,NA,Solar,#VALUE!
Southwark,-6844,Gas Turbine,72,1676,0.27,14522.08,133977.36,293967.62,365792.78,793737.77,Oil,255.3371002
Spice Mill Solar,-36317,Solar,1,NA,NA,NA,NA,NA,26435.32,NA,Solar,#VALUE!
Spire Solar Chicago,-404,Solar,0.95,NA,NA,NA,NA,NA,25113.56,NA,Solar,#VALUE!
Spongex LLC Facility,-14406,Internal Combustion,2,NA,NA,10342,NA,NA,19486.37,NA,Oil,#VALUE!
Spring House IC Plant,-87254,Internal Combustion,3.8,24197,72.69,8600.82,328400.12,302199.33,48824.45,679423.9,Gas,26.06105922
Springfield Solar,-98486,Solar,1.5,2047,15.58,NA,0,0,39652.98,39652.98,Solar,0
Spruance Genco,-94600,Steam Turbine,190,190434,11.44,11667.87,1712599.05,6868952.73,4762555.89,13344107.67,Coal,45.06312833
Spruance Genco,-94598,Steam Turbine,190,190434,11.44,11667.87,1712599.05,6868952.73,4762555.89,13344107.67,Coal,45.06312833
St Joseph of the Palisades Solar,-16526,Solar,0.16,NA,NA,NA,NA,NA,4229.65,NA,Solar,#VALUE!
St. Francis Hospital,-6915,Internal Combustion,1.6,NA,NA,11075,NA,NA,15187.23,NA,Gas,#VALUE!
St. Marys CT,-6942,Gas Turbine,22.4,717,0.37,19337.52,51090.1,109301.88,138371.05,298763.03,Oil,223.6987169
St. Nicholas Cogeneration,-6947,Steam Turbine,87.8,660243,85.84,13884.22,1804946.76,33098213.88,1650587.15,36553747.8,Coal,52.86411312
Stafford County Landfill,-12326,Internal Combustion,2,9122,52.07,11179.57,127787.81,355566.12,21833.12,505187.05,Biomass,52.98771432
Staples Distribution Center Solar Plant,-22112,Solar,1.5,NA,NA,NA,NA,NA,39652.98,NA,Solar,#VALUE!
Steger,-6988,Gas Turbine,1,NA,NA,11315,NA,NA,4583.8,NA,Gas,#VALUE!
Stewartsville Solar Farm,-49926,Solar,18,NA,NA,NA,NA,NA,475835.81,NA,Solar,#VALUE!
Stony Creek Wind Farm,-55041,Wind Turbine,52.5,147775,32.13,NA,367314.5,0,1061350.53,1428665.03,Wind,2.485633565
Stony Creek Wind Farm,-55040,Wind Turbine,52.5,147775,32.13,NA,367314.5,0,1061350.53,1428665.03,Wind,2.485633565
Story County Wind Farm,-15107,Wind Turbine,150,505939,38.5,NA,832595.16,0,2712516.55,3545111.71,Wind,1.645643368
Streator,-16723,Internal Combustion,0.9,6068,76.97,13189.52,57282.29,291316.48,1476.36,350075.13,Biomass,57.44870962
Streator,-16710,Internal Combustion,0.9,6068,76.97,13189.52,57282.29,291316.48,1476.36,350075.13,Biomass,57.44870962
Stryker,-88628,Gas Turbine,18,18,0.01,49611.11,4464.33,11150.98,198048.57,213663.88,Oil,867.5172222
Sturgis City,-7041,Hydraulic Turbine,2.2,7632,39.6,NA,166989.76,0,238226.06,405215.83,Water,21.88020964
Sturgis City Diesel,-7040,Internal Combustion,6,272,0.52,14018.38,53906.08,19069.44,57053.37,130028.89,Gas,268.2923529
Suburban Landfill Gas Recovery Plant,-21266,Internal Combustion,6.4,30115,53.72,11596.11,415393.5,1210620.32,81820.32,1707834.14,Biomass,53.99348564
Suffolk Energy Partners LP,-16724,Internal Combustion,2.8,22848,93.15,13588.02,291136.13,1130052.56,23289.82,1444478.51,Biomass,62.20188594
Suitland Federal Center,-7048,Solar,0.1,NA,NA,NA,NA,NA,2643.53,NA,Solar,#VALUE!
Summit Associates Solar Project,-36709,Solar,1.9,2589,15.56,NA,0,0,50227.11,50227.11,Solar,0
Summit Street Power Plant,-65311,Gas Turbine,13.3,31858,27.34,11605.78,44831.66,628342.9,77113.33,750287.89,Gas,21.13047147
Sunbury CT,-12841,Gas Turbine,47.2,155,0.04,20954.84,38442.82,39028.42,277970.58,355441.81,Oil,499.8144516
Sunbury IC,-12842,Internal Combustion,5,10,0.02,13400,5792.87,1602.95,34767.2,42163.02,Oil,739.582
Sunbury Solar Farm (Sugar Run Solar),-80835,Solar,5,NA,NA,NA,NA,NA,11225.96,NA,Solar,#VALUE!
Surry,-7071,Nuclear,1750,11789726,76.91,10400,72209994,46670529,128519157,247399680,Nuclear,10.08339999
Susquehanna Nuclear,-108180,Nuclear,2620,20591260,89.72,10400,135385211.8,172282917.6,189286596.1,496954725.4,Nuclear,14.94168542
Susquehanna Nuclear,-7073,Nuclear,2620,20591260,89.72,10400,135385211.8,172282917.6,189286596.1,496954725.4,Nuclear,14.94168542
Susquehanna Resource Management Complex (Harrisburg Facility Cogen),-85344,Steam Turbine,21.8,115534,60.5,6029.28,924643.49,4541620.23,514059.74,5980323.46,Biomass,47.31303097
SX Renewable Energy Generation Facility,-100142,Internal Combustion,3,15196,57.82,13607,214772.47,760250.4,36972.68,1011995.55,Biomass,64.16312648
Tait Electric Generating Station,-57149,Gas Turbine,376,195447,5.93,12581.23,522928.29,6960471.81,1186383.9,8669784,Gas,38.28864142
Tangier,-7123,Internal Combustion,3.8,160,0.48,9962.5,31397.76,19165.74,23486.46,74049.96,Oil,316.021875
Tarboro Solar,-102382,Solar,5,NA,NA,NA,NA,NA,11225.96,NA,Solar,#VALUE!
Tasley,-21093,Gas Turbine,40.3,2432,0.69,15567.43,94382.26,465344.2,253880.05,813606.5,Oil,230.1506826
Temple SEGF Cogen Plant,-87191,Internal Combustion,16,916,0.65,12239.08,105278.18,32645.39,196754.5,334678.07,Gas,150.571583
Tenaska Virginia Generating,-108484,Combined Cycle,903,5000520,63.22,7390.12,3921909.71,147612000,8350071.84,159883981.5,Gas,30.30363036
Tenaska Virginia Generating,-108483,Combined Cycle,903,5000520,63.22,7390.12,3921909.71,147612000,8350071.84,159883981.5,Gas,30.30363036
Tenaska Virginia Generating,-65255,Combined Cycle,903,5000520,63.22,7390.12,3921909.71,147612000,8350071.84,159883981.5,Gas,30.30363036
Tenaska Virginia Generating,-43425,Combined Cycle,903,5000520,63.22,7390.12,3921909.71,147612000,8350071.84,159883981.5,Gas,30.30363036
Tenaska Virginia Generating,-43423,Combined Cycle,903,5000520,63.22,7390.12,3921909.71,147612000,8350071.84,159883981.5,Gas,30.30363036
Tenaska Virginia Generating,-22206,Combined Cycle,903,5000520,63.22,7390.12,3921909.71,147612000,8350071.84,159883981.5,Gas,30.30363036
Tennessee Eastman Division,-7156,Steam Turbine,194.3,1132877,66.56,5284.55,4400453.8,17386131.59,2746311.89,24532897.29,Coal,19.23120108
Thornridge High School,-7198,Internal Combustion,1,79,0.9,8392.41,548.78,1955.67,846.34,3350.79,Gas,31.70189873
Thornwood High School,-7199,Internal Combustion,1.4,299,2.44,8404.68,6310.11,7412.66,6122.53,19845.3,Gas,45.89555184
Three Mile Island,-9850,Nuclear,829,6598041,90.86,10400,56796962.1,55204477.6,67079512.38,179080952.1,Nuclear,16.97495358
Timber Road II Wind Farm,-102764,Wind Turbine,99,336861,38.84,NA,535981.71,0,1770705.64,2306687.35,Wind,1.59110645
